name,region,hemisphere,tissue,Y
36515,37,right,white,RW
36516,6,left,white,LW
36517,6,left,white,LW
36518,6,left,white,LW
36522,22,left,white,LW
36523,22,left,white,LW
36524,22,left,white,LW
36525,22,left,gray,LG
36527,20,left,gray,LG
36528,20,left,gray,LG
36529,20,left,white,LW
36533,20,left,gray,LG
36539,55,right,gray,RG
36540,55,right,gray,RG
36541,55,right,gray,RG
36542,57,right,gray,RG
36543,57,right,gray,RG
36544,55,right,gray,RG
36546,55,right,gray,RG
36547,57,right,white,RW
36548,37,right,white,RW
36549,37,right,white,RW
36550,37,right,gray,RG
36555,41,right,white,RW
36556,37,right,white,RW
36557,6,left,white,LW
36558,6,left,white,LW
36563,2,left,white,LW
36564,2,left,white,LW
36565,2,left,white,LW
36566,20,left,gray,LG
36568,20,left,gray,LG
36581,55,right,gray,RG
36582,55,right,gray,RG
36583,55,right,gray,RG
36588,55,right,gray,RG
36589,37,right,gray,RG
36590,37,right,white,RW
36591,37,right,white,RW
36592,37,right,white,RW
36604,2,left,gray,LG
36605,2,left,white,LW
36606,2,left,white,LW
36607,2,left,white,LW
36608,2,left,gray,LG
36613,20,left,white,LW
36614,20,left,gray,LG
36615,20,left,gray,LG
36616,20,left,white,LW
36617,20,left,gray,LG
36622,55,right,gray,RG
36625,55,right,gray,RG
36630,37,right,gray,RG
36631,37,right,gray,RG
36632,37,right,white,RW
36633,37,right,white,RW
36634,37,right,white,RW
36635,37,right,gray,RG
36636,37,right,gray,RG
36643,2,left,gray,LG
36644,2,left,gray,LG
36645,2,left,white,LW
36646,2,left,white,LW
36647,2,left,white,LW
36648,2,left,gray,LG
36649,2,left,gray,LG
36650,20,left,gray,LG
36652,20,left,white,LW
36653,20,left,gray,LG
36654,20,left,gray,LG
36655,20,left,gray,LG
36657,20,left,gray,LG
36663,55,right,gray,RG
36664,55,right,gray,RG
36665,55,right,gray,RG
36666,55,right,gray,RG
36667,55,right,gray,RG
36670,55,right,gray,RG
36671,37,right,gray,RG
36672,37,right,white,RW
36673,37,right,white,RW
36674,37,right,white,RW
36675,37,right,white,RW
36676,37,right,white,RW
36677,37,right,gray,RG
36684,2,left,gray,LG
36685,2,left,white,LW
36686,2,left,white,LW
36687,2,left,white,LW
36688,2,left,white,LW
36689,2,left,white,LW
36690,2,left,gray,LG
